N;drug_name;event_name;drug_id;event_id
7;Metronidazole;Gonorrhea;1707164;433417
7;Ibandronate;Entropion;1512480;379020
7;Iodine;Polycystic ovaries;1780601;195501
7;red snapper allergenic extract;Bipolar affective disorder, current episode manic;40175931;440078
7;bevacizumab;Primary malignant neoplasm of anterior aspect of epiglottis;1397141;436643
7;sheep sorrel pollen extract;Finding relating to psychosocial functioning;40162235;4107655
7;benzonatate;Peripheral vascular disorder due to diabetes mellitus;1136601;321822
7;brinzolamide;Peripheral vertigo;938044;78162
7;Chlorprothixene;Child attention deficit disorder;19095002;440086
7;Gemfibrozil;Transverse deficiency of upper limb;1558242;133593
7;Selegiline;Traumatic arthropathy of the ankle and/or foot;766209;75620
7;Aspergillus terreus allergenic extract;Anxiety disorder of childhood OR adolescence;19080274;433178
7;Benzoyl Peroxide;Alcoholic fatty liver;918172;193256
6;oxybutynin;Wound botulism;918906;438958
6;Lithium Carbonate;Hypertrophic elongation of cervix;751246;194088
6;zinc pyrithione;Typhoid carrier;944360;4016356
6;Benzocaine;Open wound of pharynx with complication;917006;31720
6;goose feather extract;Nodular lymphoma;40170741;4149840
6;Passalora fulva allergenic extract;Bronchiectasis;40176152;256449
6;aripiprazole;Closed traumatic dislocation of second cervical vertebra;757688;440239
6;Aminoglutethimide;Acute severe exacerbation of allergic asthma;1503057;45769442
6;lodgepole pine pollen extract;Estrogen receptor positive tumor;40172270;4167696
6;felbamate;Hypertrophic osteoarthropathy;795661;74731
6;infliximab;Sensory nervous system finding;937368;4024013
6;nateglinide;Postoperative urethral stricture;1502826;194996
6;saxagliptin;Secondary malignant neoplasm of liver;40166035;198700
6;Urea;Atrophic flaccid tympanic membrane;906914;381584
6;lithium citrate;Toxic encephalopathy;767410;373764
6;Clobetasol;Tick-borne relapsing fever;998415;438963
6;Curvularia inequalis allergenic extract;Closed fracture of calcaneus;40223116;80232
6;Fluphenazine;Open dislocation of second cervical vertebra;756018;443942
6;giant ragweed pollen extract;Benign neoplasm of adrenal gland;40161718;192273
6;Methyclothiazide;Central pterygium;905273;376411
6;Phenolphthalein;Sprain of interphalangeal joint of toe;924309;78586
6;Flecainide;Cocaine dependence;1354860;436389
6;Mibefradil;Orthostatic hypotension;1345141;319041
6;beech pollen extract;Closed fracture of medial malleolus;40161542;439162
6;estropipate;Benign neoplasm of penis;1525278;201823
6;rabeprazole;Delay in sexual development AND/OR puberty;911735;440366
6;Glucose;Post-dysenteric reactive arthropathy of the shoulder region;1560524;72984
6;Flavoxate;Syphilis;954853;436033
6;Pindolol;Isolated explosive disorder;1345858;438746
6;green ash pollen extract;Gallbladder and bile duct calculi;40161734;443421
6;Mucor racemosus allergenic extract;Arteriosclerotic dementia with depression;40161334;374326
6;bimatoprost;Disorder of joint of ankle and/or foot;904525;40482662
6;dexpanthenol;Open fracture of hamate bone of wrist;988294;438004
6;trichlorofluoromethane;Hemoglobinopathy;942659;432868
6;Alclometasone;Primary malignant neoplasm of splenic flexure of colon;905151;437798
6;Factor VIII;Dyspareunia;1352213;439080
6;Garrys oak pollen extract;Diabetic complication;40172997;442793
6;Agkistrodon piscivorus antivenin;Paralytic ileus;40168516;192357
6;cherry birch pollen extract;Acute myocarditis;40161606;312653
5;black pepper allergenic extract;Calculus in diverticulum of bladder;40171939;192965
5;trichloroacetaldehyde;Adenoviral pneumonia;742594;254677
5;red bell pepper allergenic extract;Benign hypertensive heart disease with congestive heart failure;40172504;312338
5;Sodium Acetate;Superficial injury of shoulder and upper arm;19077884;433064
5;Rho(D) Immune Globulin;Disorder of joint of shoulder region;535714;40484571
5;pirbuterol;Impairment of voice production;1125449;4027310
5;Cisplatin;Ciliary muscle spasm;1397599;434344
5;Imipramine;Odontoclasia;778268;139046
5;Gemtuzumab ozogamicin;Hereditary hemolytic anemia;42799711;28396
5;grama grass pollen extract;Transient global amnesia;40161726;437306
5;sardine allergenic extract;Congenital hypoplasia of breast;40175884;76467
5;valsartan;Asymmetry of maxilla;1308842;437014
5;Ceftizoxime;Hepatorenal syndrome;1777254;196455
5;Coal Tar;Impairment of child development;1000995;45767018
5;Magnesium lactate;Disorder of bursa of shoulder region;19051926;442256
5;Potassium gluconate;Closed fracture of seventh cervical vertebra;19059547;434493
5;cotton allergenic extract;Renal osteodystrophy;40175806;197921
5;pecan allergenic extract;Colostomy and enterostomy malfunction;40170868;196454
5;Laronidase;Phacogenic glaucoma;1543229;434030
5;Guanabenz;Congenital anomaly of spine;1366237;81670
5;Ultralente Insulin, Beef;Canceled operative procedure;19090226;4164707
5;Ketorolac;Malignant histiocytosis of lymph nodes of axilla AND/OR upper limb;1136980;435200
5;Clofibrate;Flaccid hemiplegia of dominant side;1598658;40481757
5;Rocuronium;Effusion of joint of shoulder region;19003953;72407
5;Sumatriptan;Open fracture of shaft of bone of forearm;1140643;4195752
5;corn allergenic extract;Malignant secondary renovascular hypertension;40170650;4110947
5;Dipivefrin;Open fracture of radius AND ulna;990009;439946
5;Galantamine;Closed fracture of T7-T12 level with spinal cord injury;757627;313608
5;6-Aminocaproic Acid;Convalescence after chemotherapy;1369939;4079936
5;orlistat;Blind hypertensive eye;741530;377551
5;POLYETHYLENE GLYCOL 3350;Carrier of cystic fibrosis gene mutation;986417;40479565
5;Insulin, Aspart Protamine, Human;Injury of digital nerve;1531601;133646
5;Ursodeoxycholate;Overlapping malignant neoplasm of biliary tract;988095;198695
5;caraway seed allergenic extract;Sprain of hip;40172084;441701
5;Carbamazepine;Open dislocation of cervical spine;740275;438889
5;Pramipexole;Nondependent mixed drug abuse, episodic;720810;440694
5;Nisoldipine;Superficial foreign body of trunk without major open wound but with infection;1319880;444416
5;Amiodarone;Delayed milestone;1309944;436233
5;Chondroitin Sulfates;Malignant tumor of Islets of Langerhans;1395573;4095437
4;Fusarium oxysporum vasinfectum allergenic extract;Recurrent manic episodes, in full remission;40167646;437831
4;temozolomide;Rhabdomyolysis;1341149;4345578
4;anagrelide;Impairment level: total impairment of both eyes;1381253;377277
4;Trimetrexate;Acquired postural kyphosis;1750928;75637
4;sweet potato allergenic extract;Simple goiter;40172590;141825
4;box elder maple pollen extract;Nondependent alcohol abuse in remission;40161593;441276
4;Cholestyramine Resin;Lack of anterior occlusal guidance;19095309;438793
4;Vitamin E;Closed fracture of distal end of ulna;19009540;435374
4;crab allergenic extract;Prolapse of female genital organs;40170660;199876
4;potassium phosphate;Hemodialysis-associated hypotension;19027362;313232
4;Methenamine;Arthralgia of temporomandibular joint;904356;73231
4;Chaetomium globosum allergenic extract;Phlebitis and/or thrombophlebitis of iliac vein;40161167;316137
4;olanzapine;Closed fracture of ramus of mandible;785788;433038
4;aprepitant;Acute exacerbation of intrinsic asthma;936748;45773005
4;pentaerythritol;Atypical squamous cells on anal Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion;19022446;443715
4;Clonidine;Asymmetry of maxilla;1398937;437014
4;Ciprofloxacin;Malignant histiocytosis of intrapelvic lymph nodes;1797513;192270
4;loose oat smut extract;Undifferentiated schizophrenia;40175872;4008566
4;cow milk allergenic extract;Acute paranoid reaction;40170656;438737
4;Magnesium Sulfate;Fracture of mandible, closed;19093848;380859
4;abatacept;Glossitis;1186087;436147
4;red cedar pollen extract;Myasthenic crisis;40161910;4215003
4;fondaparinux;Crystal arthropathy of hip;1315865;77953
4;Siberian elm pollen extract;Sick-euthyroid syndrome;42801112;137991
4;Pyrethrins;Adolescent emancipation disorder;959665;439691
4;Levofloxacin;Toxic effect of petroleum product;1742253;435130
4;Trospium;Open fracture of sacrum AND/OR coccyx without spinal cord injury;991825;79168
4;coast maple pollen extract;Ophthalmic electrodiagnostic finding;40161569;256244
4;dihydrocodeine;Degenerated eye;1189596;381849
4;thyroid (USP);Acute secondary syphilitic meningitis;1501309;439670
4;dog flea allergenic extract;Cystic disease of kidney;40175833;193016
4;anisindione;Plantar fasciitis;1332661;4002650
4;sugar beet allergenic extract;Must strain to pass urine;40172566;199151
4;house fly extract;Senile corneal changes;40175853;375550
4;Magnesium Salicylate;Injury due to motor vehicle accident;1168079;443539
4;ferrous sulfate;Open wound of multiple sites of face with complication;1396131;134510
4;Isopropyl Alcohol;Alcoholic liver damage;19028106;201612
4;Fluoxetine;Hodgkin's granuloma of lymph nodes of inguinal region AND/OR lower limb;755695;442153
4;burweed marshelder pollen extract;Tropical sprue;40161637;193521
3;ciclopirox;Cortex contusion without open intracranial wound AND with no loss of consciousness;950098;436547
3;Glutaral;Closed fracture of humerus;1761033;441422
3;tiludronic acid;Malignant hypertensive heart disease with congestive heart failure;19011064;316994
3;Bisoprolol;Incomplete passage of stool;1338005;4096856
3;Khuskia oryzae allergenic extract;Neoplasm of uncertain behavior of male genital organ;40169661;197518
3;Metipranolol;Open wound of axillary region with tendon involvement;905531;439965
3;Melphalan;Erythema multiforme;1301267;132702
3;sitagliptin;Impairment level: one eye: moderate impairment: other eye: normal vision;1580747;380719
3;Chloroquine;Complication of transplanted intestines;1792515;200906
3;Puccinia graminis allergenic extract;Complication of transplanted pancreas;40224069;25698
3;sulconazole;Leukoplakia of esophagus;940535;435577
3;Propylene glycol;Localized scleroderma;929128;441928
3;rofecoxib;Bilateral recurrent femoral hernia with obstruction but no gangrene;1189754;196461
3;Levorphanol;Salmonella pneumonia;1189766;258333
3;cauliflower allergenic extract;Rupture of extensor tendons of hand AND/OR wrist;40171991;80811
3;careless weed pollen extract;Malignant tumor of nasal cavity;40161694;4177107
3;Doxylamine;Torsion of appendix of testis;738818;441068
3;Calcium Gluconate;Protan defect;19037038;379819
3;Aminophylline;Viral encephalitis;1105775;372547
3;Allantoin;Cystitis associated with another disorder;966376;439349
3;docetaxel;Toxic myocarditis;1315942;317301
3;Flurbiprofen;Hodgkin's sarcoma of lymph nodes of multiple sites;1156378;316649
3;alcaftadine;Acute posthemorrhagic anemia;40224159;434894
3;Penicillium italicum allergenic extract;Arteriosclerosis of artery of extremity;40176125;40484167
3;clove allergenic extract;Bacterial infection due to Klebsiella pneumoniae;40172112;436339
3;4-Aminobenzoate;Synovial cyst of popliteal space;19087067;73843
3;Lithium Carbonate;Sensorimotor disorder of eyelid;751246;381865
3;Sorbitol;Disorder of ankle;970011;78831
3;Mibefradil;Overlapping malignant neoplasm of colon;1345141;79740
3;aripiprazole;Impairment level: better eye: severe impairment: lesser eye: near-total impairment;757688;374039
3;valdecoxib;Autoimmune hepatitis;1103374;200762
3;Pacific halibut allergenic extract;Adverse reaction to drug;40175899;441207
3;cupric chloride;Group B streptococcal pneumonia;19073031;252655
3;Ketotifen;Active cochlear M+®ni+¿re's disease;986117;439716
3;Salsalate;Kugelberg-Welander disease;1137460;374634
3;date allergenic extract;Gastrointestinal hemorrhage;40172246;192671
3;Isoetharine;Injury of diaphragm without open wound into cavity;1181809;201157
3;Nafarelin;Right bundle branch block AND left anterior fascicular block;1507558;316432
3;domestic cow skin extract;Ischiocapsular sprain;40161750;4019044
3;Thiothixene;Open wound of ear auricle with complication;700465;376272
3;southern ragweed pollen extract;Recurrent hypersomnia;40169074;443528
3;Dehydrocholate;Thyroiditis;19052817;133444
3;Benzoyl Peroxide;Amphetamine or psychostimulant dependence, episodic;918172;441262
3;Sodium gluconate;Closed fracture of upper end of humerus;19078092;434494
3;Cholecalciferol;Lymphosarcoma of lymph nodes of inguinal region and lower limb;19095164;198702
3;flunisolide;Extradural hemorrhage following injury without open intracranial wound AND with brief loss of consciousness;1196514;261433
3;Acetazolamide;Single live birth;929435;4014295
3;Miconazole;Monoplegia of lower limb affecting non-dominant side;907879;4141654
3;Iodoquinol;Amino acid transport disorder;928006;438391
3;Ethambutol;Neoplasm of uncertain behavior of soft tissues;1749301;374313
3;Trifluoperazine;Arthropathy in Behcet's syndrome of the hand;704984;81100
3;Sulfinpyrazone;Congenital anomaly of nose;1236493;256811
3;pea allergenic extract;Severe major depression, single episode, with psychotic features;40170854;438406
3;Niacin;Myelitis;1517824;138965
3;Minoxidil;Adherent leukoma;1309068;374945
3;Somatropin;Sprain of iliofemoral ligament;1584910;76255
3;Penicillamine;Torticollis;19028050;440814
3;lapatinib;Carpal tunnel syndrome;1359548;380094
3;English plantain pollen extract;Closed fracture of four ribs;40160939;80852
3;crab allergenic extract;Chronic osteomyelitis;40170660;134735
3;panitumumab;Palindromic rheumatism;19100985;76196
3;Fusarium oxysporum vasinfectum allergenic extract;Benign neoplasm of hypopharynx;40167646;433978
3;hypromellose;Fracture of fibula;902251;436209
3;linezolid;Focal choroiditis AND chorioretinitis of other posterior pole;1736887;436393
3;Casanthranol;Injury of stomach without open wound into abdominal cavity;900093;198010
3;Maprotiline;Partial edentulism;794147;40481091
3;Polythiazide;Traumatic subcutaneous emphysema;948787;138027
3;Lysine;Ankylosis of the wrist joint;19092377;4117391
3;bortezomib;Acute infective exacerbation of chronic obstructive airways disease;1336825;4115044
3;western white pine pollen extract;Thiamin deficiency;40172858;441266
3;Vinblastine;Tracheostomy complication;19008264;137005
3;mecasermin rinfabate;Renal osteodystrophy;1586449;197921
3;Bacitracin;Retained magnetic foreign body in vitreous;915175;435248
3;enrofloxacin;Infection due to Streptococcus group D;40170592;40492322
3;Fluvoxamine;Open wound of elbow with tendon involvement;751412;79956
3;darunavir;Pinguecula;1756831;376124
3;L1 protein, Human papillomavirus type 18 Vaccine;Calculus in diverticulum of bladder;529114;192965
3;cefdinir;Toxic myocarditis;1796458;317301
3;insulin, isophane;Disorder due to bovine papular stomatitis virus;46221581;443722
3;Eucalyptus oil;Vitreous degeneration;1180412;320420
3;Fentanyl;Congenital mandibular hyperplasia;1154029;433230
3;Griseofulvin;Chronic hepatitis;1763779;200763
3;rabeprazole;Longitudinal deficiency of fibula;911735;436513
3;Dihydroergotamine;Disorder of endocrine system;1126557;31821
3;giant ragweed pollen extract;Malleus mobility reduced;40161718;436426
3;dog hair extract;Pityriasis versicolor;40170475;134870
2;chocolate allergenic extract;Closed fracture of tibia AND fibula;40226521;434782
2;Halcinonide;Undifferentiated schizophrenia;966468;4008566
2;Phenobarbital;Deep third degree burn of forehead AND/OR cheek with loss of body part;734275;444390
2;fluvastatin;Leukemic reticuloendotheliosis of lymph nodes of multiple sites;1549686;318989
2;rat skin extract;Disorder of cornea associated with contact lens;40171114;40480179
2;cytomegalovirus immune globulin;Noninfectious colitis;586491;443865
2;alatrofloxacin;Adjustment disorder;19018154;436677
2;aluminum chloride;Primary central sleep apnea;957393;43022069
2;carbinoxamine;Dacryoadenitis;1141018;381858
2;rofecoxib;Traumatic pneumothorax without open wound into thorax;1189754;253896
2;Flumazenil;Acquired deformity of trunk;19055153;4319325
2;Ethosuximide;External hordeolum;750119;380403
2;phenol;Pelvic girdle and lower limb multiple nerve injuries;923540;4057037
2;Estrogens;Rhabdomyolysis;19049228;4345578
2;Flucytosine;Orthostatic hypotension;1755112;319041
2;Timolol;Periostitis without osteomyelitis, of the hand;902427;437649
2;dalfopristin;Disorder of hematopoietic structure;1789517;317248
2;Fluconazole;Nodular tuberculosis of lung;1754994;255175
2;Pentamidine;Bilateral recurrent inguinal hernia with obstruction but no gangrene;1730370;194989
2;pneumococcal capsular polysaccharide type 18C vaccine;Septic shock;40163680;196236
2;Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine;Dysmenorrhea;529042;194696
2;Acetazolamide;Ventricular hemorrhage;929435;443752
2;terconazole;Central corneal ulcer;941472;380402
2;Follitropin Alfa;Dehiscence of surgical wound;1542948;136580
2;lubiprostone;Bilateral femoral hernia with obstruction but no gangrene;987366;194072
2;fomepizole;Schizophrenia in remission;19022479;435219
2;Encainide;Benign neoplasm of skin of face;19051513;140966
2;linezolid;Third degree burn of lower leg;1736887;76574
2;paliperidone;Open fracture of femoral condyle of femur;703244;433617
2;Probucol;Impairment of child development;19051463;45767018
2;Probucol;Vitamin A deficiency with keratomalacia;19051463;376374
2;Dicumarol;Osteoarthritis of wrist;1325124;4035441
2;Medroxyprogesterone;Impairment level: severe impairment of both eyes;1500211;376689
2;Erythromycin;Prader-Willi syndrome;1746940;441963
2;Topotecan;Exostosis of external ear canal;1378509;381574
2;Diphenoxylate;Chronic inflammation of orbit;930916;433773
2;black locust pollen extract;Walking difficulty due to multiple sites;40167409;442423
2;garlic allergenic extract;Erythematosquamous dermatosis;40172254;140172
2;Thiosalicylate;Acute hemorrhagic gastritis;19060877;193249
2;sour cherry allergenic extract;Hypertensive disorder;40227359;316866
2;Threonine;Open fracture of humerus;19000537;435659
2;Acremonium strictum allergenic extract;Acute myringitis;40173511;381040
2;American cockroach allergenic extract;Chronic lacrimal canaliculitis;40173533;438762
2;black pepper allergenic extract;Open fracture of shaft of fibula;40171939;437118
2;Rimantadine;Mental disorders during pregnancy, childbirth and the puerperium;1763339;4060424
2;Penbutolol;Traction detachment of retina;1327978;375249
2;Rocuronium;Carcinoid tumor of small intestine;19003953;198100
2;gatifloxacin;Mottled teeth, congenital;1789276;434069
2;queen palm pollen extract;Secondary malignant neoplasm of respiratory tract;40167733;253717
2;cranberry allergenic extract;Impulse control disorder;40172198;433752
2;Pentosan Polysulfate;Adjustment disorder with mixed disturbance of emotions AND conduct;924151;436076
2;Estrogens, Esterified (USP);Encephalocele;1551673;432419
2;red delicious apple allergenic extract;Nephrotic syndrome;40171157;195314
2;pneumococcal capsular polysaccharide type 11A vaccine;Lown-Ganong-Levine syndrome;40163670;437892
2;Activated Charcoal;Chronic follicular conjunctivitis;1701928;372318
2;red paper wasp venom protein;Malignant lymphoma of lymph nodes of multiple sites;42800238;132841
2;Vorinostat;Urinary tract obstruction;1337651;194406
2;famciclovir;Selective immunoglobulin dysfunction;1703603;435797
2;Sodium Fluoride;Chagas' disease with heart involvement;19069022;321502
2;dill allergenic extract;Eosinophilia myalgia syndrome;40175808;258828
2;Influenza Virus Vaccine, Inactivated B-Florida-4-2006 strain;Acute myocardial infarction of inferoposterior wall;532584;441579
2;phendimetrazine;Thyrotoxic crisis;723344;133436
2;Nandrolone;Open fracture of medial condyle of humerus;1514412;433340
2;groundsel pollen extract;Prolapse of uterine cervical stump;40172352;443610
2;Sodium gluconate;Acute severe exacerbation of asthma;19078092;45769438
2;Danazol;Polyuria;1511449;79936
2;lettuce allergenic extract;Complication of reattached forearm;40172457;133650
2;Antipyrine;Disorder of sclera;1036059;436134
2;Polythiazide;Eczematous dermatitis of eyelid;948787;437557
2;Caspofungin;Catarrhal bronchitis;1718054;4232302
2;Carteolol;Open dislocation of metatarsophalangeal joint;950370;433044
2;Rifabutin;Vulvar vestibulitis;1777417;435011
2;Hexachlorophene;Disorder of hair;1768734;133278
2;Heavy mineral oil;Functional disorders of polymorphonuclear neutrophils;998394;436957
2;Inamrinone;Visual disturbance as sequela of cerebrovascular disease;19017805;43531583
2;hazelnut pollen extract;Malignant tumor of Meckel's diverticulum;40161789;4094863
2;Insulin, Zinc, Human;Contusion of lower limb;1513849;199978
2;Cefotetan;Osteitis condensans;1774932;75920
2;selenium sulfide;Scleritis with corneal involvement;938061;432637
2;chloroxylenol;Pyromania;949459;434629
2;Trichoderma viride allergenic extract;Tympanic membrane conductive hearing loss;40175746;376131
2;Folic Acid;Closed fracture of ramus of mandible;19111620;433038
2;entecavir;Atypical squamous cells of undetermined significance on cervical Papanicolaou smear;1711246;434170
2;Prilocaine;Vascular myelopathy;951279;136960
2;lumefantrine;Acute posthemorrhagic anemia;19048037;434894
2;Endopeptidases;Prader-Willi syndrome;931973;441963
2;mesquite pollen extract;Closed fracture of surgical neck of humerus;40161940;440853
2;blueberry allergenic extract;Rheumatic heart disease;40171969;319825
2;Pyrethrins;Chronic uterine inflammatory disease;959665;195598
2;Influenza Virus Vaccine, Inactivated A-Uruguay-716-2007 (H3N2) (A-Brisbane-10-2007-like) strain;Disorder of sleep-wake cycle;532582;435786
2;Econazole;Abscess of intestine;940864;197328
2;silodosin;Intracranial hemorrhage;19012925;439847
2;trastuzumab;Infective otitis externa due to erysipelas;1387104;4104689
2;Stannous Fluoride;Corneal ulcer;1036094;373202
2;Levonorgestrel;Benign neoplasm of endocrine gland;1589505;136937
2;temozolomide;Secondary localized osteoarthrosis of pelvic region;1341149;74722
2;mountain cedar pollen extract;Traumatic arthropathy of the ankle and/or foot;40161989;75620
2;Insulin, Zinc, Human;Furuncle of forearm;1513849;444071
2;horse hair extract;Concussion with less than 1 hour loss of consciousness;40170876;4019263
2;dalfampridine;Megaloblastic anemia;40170680;435789
2;Hydroxocobalamin;Age AND/OR growth finding;1377023;4021606
2;epidermophyton floccosum allergenic extract;Intermittent explosive disorder;40222465;440989
2;tenofovir disoproxil;Acute bulbar poliomyelitis due to Human poliovirus 2;1710281;40487367
2;desloratadine;Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium;1103006;438480
2;Guanethidine;Herpes simplex disciform keratitis;1366279;373127
2;Auranofin;Arthropathy associated with a hematological disorder;1114771;79102
2;Eszopiclone;Closed fracture of sternal end of clavicle;757352;135939
2;Prilocaine;Open traumatic dislocation hip joint, anterior;951279;77407
2;Chloroquine;Sepsis due to Bacillus anthracis;1792515;40489979
2;potassium bicarbonate;Limited duction associated with other condition of eye;19027080;380114
1;carprofen;Hodgkin's disease of lymph nodes of axilla AND/OR upper limb;19046454;434877
1;Diethylstilbestrol;Mesial temporal lobe sclerosis;1525866;40491436
1;green bell pepper allergenic extract;Crystal arthropathy of knee;40175868;74444
1;Nalidixate;Rapidly progressive periodontitis;986864;133510
1;Milrinone;Impairment level: low vision of both eyes;1368671;4290927
1;Mephobarbital;Neoplasm of uncertain behavior of male genital organ;702685;197518
1;Aminobenzoate;Active vestibular M+®ni+¿re's disease;19019800;439715
1;naratriptan;Adult victim of abuse;1118117;441481
1;exenatide;Traumatic wound dehiscence;1583722;436588
1;Mexiletine;Malignant tumor of Meckel's diverticulum;1307542;4094863
1;Apomorphine;Idiopathic peripheral autonomic neuropathy;837027;194913
1;Vitamin D;Eosinophilic gastritis;19009405;195309
1;Lisinopril;Chronic gonococcal cervicitis;1308216;194863
1;calcium glubionate;Alcoholic fatty liver;19097867;193256
1;Human-Bovine Reassortant Rotavirus Strain G1 Vaccine;Hemangioma of intra-abdominal structure;529176;197239
1;chocolate allergenic extract;Pterygium;40226521;375552
1;Vancomycin;Disability;1707687;4052648
1;Ginseng Preparation;Aseptic necrosis of bone;19017671;77650
1;Carmustine;Complication of urinary catheter;1350066;4176898
1;silk allergenic extract;Ulcerative blepharitis;19080368;441558
1;Dicumarol;Sepsis due to Staphylococcus aureus;1325124;40489907
1;haloprogin;Coma associated with diabetes mellitus;19101422;443735
1;Sodium ferric gluconate complex;Spinal cord injury without spinal bone injury;1399177;141758
1;Pegloticase;Congestive rheumatic heart failure;40226208;315295
1;tegaserod;Repetitive intrusions of sleep;916943;434334
1;Dolasetron;Upper respiratory inflammation due to fumes AND/OR vapors;903459;253234
1;Puccinia graminis allergenic extract;Abscess of salivary gland;40224069;31609
1;Typhoid Vaccine Live Ty21a;Osteitis condensans;523202;75920
1;hamster skin extract;Interrupted aortic arch;40170818;433860
1;ganirelix;Acute tracheitis without obstruction;1536743;4273095
1;Ultralente Insulin, Beef;Chronic duodenal ulcer with hemorrhage AND with perforation but without obstruction;19090226;438796
1;chromous chloride;Diphtheria carrier;19050007;4015718
1;Cortisone;Open traumatic dislocation distal radioulnar joint;1507705;441152
1;Dexrazoxane;Ariboflavinosis;1353011;432580
1;valrubicin;Calculus of bile duct with cholecystitis;19012543;201614
1;Terazosin;Syphilis in mother complicating pregnancy, childbirth AND/OR puerperium;1341238;436171
1;Pyrazinamide;REM sleep behavior disorder;1759455;439007
1;Syncephalastrum racemosum allergenic extract;Closed fracture of cuneiform bone of foot;40175686;437999
1;Ethosuximide;Malignant neoplasm of spinal meninges;750119;4181482
1;iron sucrose;Postablative ovarian failure;1395773;192859
1;Nevirapine;Poisoning due to chemical substance;1769389;40481346
1;Influenza Virus Vaccine, Live Attenuated, A-California-7-2009 (H1N1) strain;Histoplasma capsulatum with retinitis;40225031;378078
1;Levofloxacin;Burn erythema of trunk;1742253;198623
1;clove allergenic extract;Recurrent isolated sleep paralysis;40172112;40482198
1;methylsulfonylmethane;Infection due to Escherichia coli;1389780;440320
1;hydroxyurea;Toxic effect of inorganic lead compound;1377141;441759
1;Hydrocortisone;Deep full thickness burn of ear, with loss of body part;975125;442414
1;rituximab;Mental disorder during pregnancy - baby delivered;1314273;442920
1;fingolimod;Impairment level: one eye: moderate impairment: other eye: not specified;40226579;373475
1;dalfampridine;Bronchospasm;40170680;256717
1;firocoxib;Overlapping malignant melanoma of skin;40168262;133419
1;red cedar pollen extract;Closed lateral dislocation of elbow;40161910;80866
1;Tropicamide;Impairment of voice production;906072;4027310
1;Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine;Benign secondary renovascular hypertension;529042;4249016
1;Isoflurophate;Retinal vasculitis;19082111;436403
1;Penicillium italicum allergenic extract;Hyperthyroidism due to ectopic thyroid tissue;40176125;138718
1;domestic goat hair extract;Kashin-Beck disease of the ankle and/or foot;40170521;75037
1;paper birch pollen extract;Dental caries;40172798;133228
1;amitraz;Hemangioma;40170322;441818
1;medrysone;Infertility due to extratesticular cause;909021;201354
1;Mephentermine;Undifferentiated schizophrenia;19002664;4008566
1;Azelate;Coma;986790;380834
1;Alprazolam;Infection by Trichomonas;781039;434872
1;Insulin, Zinc, Pork;Neoplasm of uncertain behavior of bladder;1562586;198401
1;Stemphylium sarciniforme allergenic extract;Acquired color vision deficiency;40175971;377865
1;chromous chloride;Pruritic rash;19050007;135618
1;soybean allergenic extract;Closed fracture of ilium;40171087;81141
1;Protriptyline;Post-dysenteric reactive arthropathy of the pelvic region and thigh;754270;439350
1;Stemphylium sarciniforme allergenic extract;Congenital anomaly of ovary;40175971;198853
1;buckwheat allergenic extract;Conjunctival diphtheria;40172004;442552
1;aluminum chloride;Hemarthrosis of knee;957393;75043
1;Beclomethasone;Chronic gonococcal cystitis;1115572;196338
1;bimatoprost;Retinal microaneurysm;904525;432890
1;Methylcellulose;Closed fracture of femur, distal end;905371;440548
1;European rabbit skin extract;Derangement of posterior horn of lateral meniscus;40170979;433556
1;rasagiline;Sprain of iliofemoral ligament;715710;76255
1;sodium sulfate;Exposure keratoconjunctivitis;939976;379812
1;Trimetrexate;Hepatitis B carrier;1750928;4340379
1;herring allergenic extract;Open fracture of clavicle;40172423;73609
1;artichoke allergenic extract;Adhesions of iris;40170396;440705
1;bacampicillin;Toxic effect of lead compound;1734205;436876
1;linden pollen extract;Rheumatic heart disease;40161968;319825
1;Mometasone;Traumatic arthropathy of the pelvic region and thigh;905233;81659
1;CHROMIUM PICOLINATE;Villonodular synovitis of the shoulder region;19080550;81383
1;gemcitabine;Refractive amblyopia;1314924;381017
1;Potassium Acetate;Eustachian tube salpingitis;19076414;377884
1;rice allergenic extract;Noninflammatory cervical disorder;40172600;4113650
1;hydroquinone;Carcinoma in situ;976778;433435
1;Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain;Non-thrombocytopenic purpura;532881;441259
1;house dust allergenic extract;Infective arthritis of ankle and/or foot;40161817;40481620
1;Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain;Nephritis;532881;193253
1;Amifostine;Primary lateral sclerosis;1350040;381003
1;Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine;Problem;529042;4206460
1;Palifermin;Hemangioma of intracranial structure;19038562;441246
1;Goserelin;Closed fracture of T7-T12 level with spinal cord injury;1366310;313608
1;house fly extract;Alternating esotropia with noncommitance other than A OR V pattern;40175853;373492
1;oxfendazole;Sprain of hip;40163712;441701
1;Succinylcholine;Alternating exotropia with noncommitance other than A OR V pattern;836208;442561
1;spiny pigweed pollen extract;Stromal corneal dystrophy;40171093;438428
