"DEC","cohortId_1a","cohortId_1b","cohortId_1c","cohortId_2a","cohortId_2b","cohortId_2c","cohortId_3","cohortId_4a","cohortId_4b","cohortId_4c","cohortId_5a","cohortId_5b","cohortId_5c"
"260 Capecitabine + Cardiomyopathy",19,181,343,505,667,829,983,1019,1368,1717,2066,2415,2764
"261 Clopidogrel + Myocardial infarction",37,199,361,523,685,847,973,1046,1395,1744,2093,2442,2791
"262 Everolimus + Thrombosis",55,217,379,541,703,865,977,1111,1460,1809,2158,2507,2856
"263 Finasteride + Sleep disorder",58,220,382,544,706,868,984,1117,1466,1815,2164,2513,2862
"264 Levofloxacin + Sleep disorder",85,247,409,571,733,895,984,1178,1527,1876,2225,2574,2923
"265 Letrozole + Thrombophlebitis",83,245,407,569,731,893,977,1172,1521,1870,2219,2568,2917
"266 Iron + Phlebitis",79,241,403,565,727,889,977,1164,1513,1862,2211,2560,2909
"267 Methotrexate + Cerebral infarction",96,258,420,582,744,906,985,1196,1545,1894,2243,2592,2941
"268 Quetiapine + Myocardial infarction",132,294,456,618,780,942,973,1272,1621,1970,2319,2668,3017
"269 Enoxaparin + Myocardial infarction",50,212,374,536,698,860,973,1098,1447,1796,2145,2494,2843
"270 Ciprofloxacin + Phlebitis",30,192,354,516,678,840,977,1038,1387,1736,2085,2434,2783
"271 Midazolam + Circulatory collapse",101,263,425,587,749,911,974,1205,1554,1903,2252,2601,2950
"272 Voriconazole + Thrombocytopenia",160,322,484,646,808,970,982,1333,1682,2031,2380,2729,3078
"273 Carbamazepine + Encephalopathy",20,182,344,506,668,830,979,1020,1369,1718,2067,2416,2765
"274 Apixaban + Cerebral haemorrhage",11,173,335,497,659,821,981,1009,1358,1707,2056,2405,2754
"275 Magnesium sulfate + Phlebitis",90,252,414,576,738,900,977,1185,1534,1883,2232,2581,2930
"276 Erythromycin + Anaphylactic reaction",52,214,376,538,700,862,974,1106,1455,1804,2153,2502,2851
"277 Clozapine + Eosinophilic myocarditis",38,200,362,524,686,848,983,1054,1403,1752,2101,2450,2799
"278 Lenalidomide + Embolism",82,244,406,568,730,892,977,1168,1517,1866,2215,2564,2913
"278 Lenalidomide + Embolism",82,244,406,568,730,892,986,1171,1520,1869,2218,2567,2916
"279 Lenalidomide + Embolism",82,244,406,568,730,892,977,1168,1517,1866,2215,2564,2913
"279 Lenalidomide + Embolism",82,244,406,568,730,892,986,1171,1520,1869,2218,2567,2916
"280 Anastrozole + Deep vein thrombosis",10,172,334,496,658,820,977,1004,1353,1702,2051,2400,2749
"281 Carbamazepine + Hypersomnia",20,182,344,506,668,830,984,1021,1370,1719,2068,2417,2766
"282 Sertraline + Hypersomnia",142,304,466,628,790,952,984,1297,1646,1995,2344,2693,3042
"283 Clozapine + Circulatory collapse",38,200,362,524,686,848,974,1053,1402,1751,2100,2449,2798
"284 Fluorouracil + Thrombocytopenia",62,224,386,548,710,872,982,1126,1475,1824,2173,2522,2871
"285 Haloperidol + Hypersomnia",70,232,394,556,718,880,984,1141,1490,1839,2188,2537,2886
"286 Mycophenolic acid + Abdominal abscess",106,268,430,592,754,916,975,1215,1564,1913,2262,2611,2960
"287 Pomalidomide + Myocardial infarction",124,286,448,610,772,934,973,1252,1601,1950,2299,2648,2997
"288 Ibrutinib + Cerebrovascular accident",73,235,397,559,721,883,985,1152,1501,1850,2199,2548,2897
"289 Octreotide + Cerebrovascular accident",111,273,435,597,759,921,985,1228,1577,1926,2275,2624,2973
"290 Enoxaparin + Haemorrhage intracranial",50,212,374,536,698,860,981,1100,1449,1798,2147,2496,2845
"291 Amiodarone + Sleep disorder",5,167,329,491,653,815,984,998,1347,1696,2045,2394,2743
"292 Allopurinol + Thrombocytopenia",3,165,327,489,651,813,982,992,1341,1690,2039,2388,2737
"293 Tramadol + Circulatory collapse",155,317,479,641,803,965,974,1322,1671,2020,2369,2718,3067
"294 Dexamethasone + Guillain-Barre syndrome",42,204,366,528,690,852,980,1079,1428,1777,2126,2475,2824
"295 Oxytocin + Anaphylactic shock",118,280,442,604,766,928,974,1243,1592,1941,2290,2639,2988
"296 Gemcitabine + Myocardial infarction",68,230,392,554,716,878,973,1135,1484,1833,2182,2531,2880
"297 Cisatracurium + Anaphylactic reaction",31,193,355,517,679,841,974,1040,1389,1738,2087,2436,2785
"298 Pantoprazole + Phlebitis",121,283,445,607,769,931,977,1249,1598,1947,2296,2645,2994
"299 Pomalidomide + Thrombocytopenia",124,286,448,610,772,934,982,1253,1602,1951,2300,2649,2998
"300 Oxytocin + Anaphylactic reaction",118,280,442,604,766,928,974,1243,1592,1941,2290,2639,2988
"301 Iron + Thrombosis",79,241,403,565,727,889,977,1164,1513,1862,2211,2560,2909
"302 Tacrolimus + Disseminated intravascular coagulation",148,310,472,634,796,958,978,1308,1657,2006,2355,2704,3053
"303 Clonidine + Sleep disorder",36,198,360,522,684,846,984,1045,1394,1743,2092,2441,2790
"304 Lamotrigine + Hypersomnia",81,243,405,567,729,891,984,1166,1515,1864,2213,2562,2911
"305 Escitalopram + Sleep disorder",53,215,377,539,701,863,984,1108,1457,1806,2155,2504,2853
"306 Duloxetine + Facial paralysis",49,211,373,535,697,859,976,1097,1446,1795,2144,2493,2842
"307 Cladribine + Hypersomnia",33,195,357,519,681,843,984,1042,1391,1740,2089,2438,2787
"308 Zoledronic acid + Myocardial infarction",162,324,486,648,810,972,973,1336,1685,2034,2383,2732,3081
"309 Rivaroxaban + Cerebrovascular disorder",138,300,462,624,786,948,985,1292,1641,1990,2339,2688,3037
"310 Capecitabine + Myocardial infarction",19,181,343,505,667,829,973,1018,1367,1716,2065,2414,2763
"311 Rivaroxaban + Disseminated intravascular coagulation",138,300,462,624,786,948,978,1288,1637,1986,2335,2684,3033
"312 Dexamethasone + Cerebral infarction",42,204,366,528,690,852,985,1081,1430,1779,2128,2477,2826
"313 Clopidogrel + Acute myocardial infarction",37,199,361,523,685,847,973,1046,1395,1744,2093,2442,2791
"314 Dabigatran + Acute coronary syndrome",41,203,365,527,689,851,973,1068,1417,1766,2115,2464,2813
"315 Nifedipine + Myocardial infarction",109,271,433,595,757,919,973,1223,1572,1921,2270,2619,2968
"316 Ranitidine + Anaphylactic reaction",134,296,458,620,782,944,974,1276,1625,1974,2323,2672,3021
"317 Paclitaxel + Anaphylactic reaction",119,281,443,605,767,929,974,1244,1593,1942,2291,2640,2989
"318 Sildenafil + Myocardial infarction",143,305,467,629,791,953,973,1298,1647,1996,2345,2694,3043
"319 Olanzapine + Myocardial infarction",113,275,437,599,761,923,973,1231,1580,1929,2278,2627,2976
"320 Iron + Thrombophlebitis",79,241,403,565,727,889,977,1164,1513,1862,2211,2560,2909
"321 Clopidogrel + Cerebrovascular accident",37,199,361,523,685,847,985,1051,1400,1749,2098,2447,2796
"322 Prednisolone + Encephalitis",126,288,450,612,774,936,979,1256,1605,1954,2303,2652,3001
"323 Prednisolone + Endocarditis",126,288,450,612,774,936,983,1258,1607,1956,2305,2654,3003
"324 Topiramate + Encephalopathy",154,316,478,640,802,964,979,1321,1670,2019,2368,2717,3066
"325 Prednisone + Endocarditis",127,289,451,613,775,937,983,1263,1612,1961,2310,2659,3008
"326 Nitrofurantoin + Anaphylactic reaction",110,272,434,596,758,920,974,1224,1573,1922,2271,2620,2969
"327 Apixaban + Myocardial infarction",11,173,335,497,659,821,973,1007,1356,1705,2054,2403,2752
"328 Azathioprine + Thrombocytopenia",13,175,337,499,661,823,982,1012,1361,1710,2059,2408,2757
"329 Digoxin + Thrombocytopenia",44,206,368,530,692,854,982,1084,1433,1782,2131,2480,2829
"330 Oxaliplatin + Thrombocytopenia",117,279,441,603,765,927,982,1241,1590,1939,2288,2637,2986
"331 Dabigatran + Pulmonary embolism",41,203,365,527,689,851,986,1073,1422,1771,2120,2469,2818
"332 Sulfasalazine + Thrombocytopenia",146,308,470,632,794,956,982,1301,1650,1999,2348,2697,3046
"333 Methotrexate + Cerebrovascular accident",96,258,420,582,744,906,985,1196,1545,1894,2243,2592,2941
"334 Cytarabine + Pulmonary embolism",40,202,364,526,688,850,986,1066,1415,1764,2113,2462,2811
"335 Oxaliplatin + Embolism",117,279,441,603,765,927,977,1240,1589,1938,2287,2636,2985
"335 Oxaliplatin + Embolism",117,279,441,603,765,927,986,1242,1591,1940,2289,2638,2987
"336 Oxaliplatin + Embolism",117,279,441,603,765,927,977,1240,1589,1938,2287,2636,2985
"336 Oxaliplatin + Embolism",117,279,441,603,765,927,986,1242,1591,1940,2289,2638,2987
"337 Dabigatran + Subarachnoid haemorrhage",41,203,365,527,689,851,981,1070,1419,1768,2117,2466,2815
"338 Lenalidomide + Guillain-Barre syndrome",82,244,406,568,730,892,980,1169,1518,1867,2216,2565,2914
"339 Tacrolimus + Deep vein thrombosis",148,310,472,634,796,958,977,1307,1656,2005,2354,2703,3052
"340 Fulvestrant + Pulmonary embolism",65,227,389,551,713,875,986,1131,1480,1829,2178,2527,2876
"341 Acetazolamide + Thrombocytopenia",2,164,326,488,650,812,982,991,1340,1689,2038,2387,2736
"342 Prednisone + Cerebral haemorrhage",127,289,451,613,775,937,981,1262,1611,1960,2309,2658,3007
"343 Dexamethasone + Facial paralysis",42,204,366,528,690,852,976,1076,1425,1774,2123,2472,2821
"344 Risperidone + Pulmonary embolism",137,299,461,623,785,947,986,1284,1633,1982,2331,2680,3029
"345 Iodixanol + Anaphylactic shock",77,239,401,563,725,887,974,1161,1510,1859,2208,2557,2906
"346 Voriconazole + Encephalopathy",160,322,484,646,808,970,979,1332,1681,2030,2379,2728,3077
"347 Cyclophosphamide + Venous thrombosis",39,201,363,525,687,849,977,1058,1407,1756,2105,2454,2803
"348 Heparin + Haemorrhage intracranial",71,233,395,557,719,881,981,1145,1494,1843,2192,2541,2890
"349 Metoprolol + Sleep disorder",100,262,424,586,748,910,984,1203,1552,1901,2250,2599,2948
"350 Dexamethasone + Thrombosis",42,204,366,528,690,852,977,1077,1426,1775,2124,2473,2822
"351 Rocuronium + Anaphylactoid reaction",140,302,464,626,788,950,974,1295,1644,1993,2342,2691,3040
"352 Escitalopram + Hypersomnia",53,215,377,539,701,863,984,1108,1457,1806,2155,2504,2853
"353 Venlafaxine + Circulatory collapse",158,320,482,644,806,968,974,1329,1678,2027,2376,2725,3074
"354 Escitalopram + Atrial septal defect",53,215,377,539,701,863,973,1107,1456,1805,2154,2503,2852
"355 Citalopram + Atrial septal defect",32,194,356,518,680,842,973,1041,1390,1739,2088,2437,2786
"356 Docetaxel + Circulatory collapse",46,208,370,532,694,856,974,1086,1435,1784,2133,2482,2831
"357 Esomeprazole + Thrombocytopenia",54,216,378,540,702,864,982,1109,1458,1807,2156,2505,2854
"358 Enoxaparin + Immune thrombocytopenia",50,212,374,536,698,860,982,1101,1450,1799,2148,2497,2846
"359 Fluoxetine + Hypersomnia",63,225,387,549,711,873,984,1128,1477,1826,2175,2524,2873
"360 Olanzapine + Thrombocytopenia",113,275,437,599,761,923,982,1232,1581,1930,2279,2628,2977
"361 Warfarin + Subarachnoid haemorrhage",161,323,485,647,809,971,981,1335,1684,2033,2382,2731,3080
"362 Memantine + Pulmonary embolism",93,255,417,579,741,903,986,1189,1538,1887,2236,2585,2934
"363 Levofloxacin + Polyneuropathy",85,247,409,571,733,895,980,1177,1526,1875,2224,2573,2922
"364 Heparin + Deep vein thrombosis",71,233,395,557,719,881,977,1144,1493,1842,2191,2540,2889
"365 Irinotecan + Thrombosis",78,240,402,564,726,888,977,1162,1511,1860,2209,2558,2907
"366 Anastrozole + Phlebitis",10,172,334,496,658,820,977,1004,1353,1702,2051,2400,2749
"367 Ticagrelor + Thrombosis",153,315,477,639,801,963,977,1318,1667,2016,2365,2714,3063
"368 Risperidone + Cerebrovascular accident",137,299,461,623,785,947,985,1283,1632,1981,2330,2679,3028
"369 Ibrutinib + Pericarditis",73,235,397,559,721,883,983,1151,1500,1849,2198,2547,2896
"370 Cabazitaxel + Thrombocytopenia",18,180,342,504,666,828,982,1017,1366,1715,2064,2413,2762
"371 Epirubicin + Pulmonary embolism",51,213,375,537,699,861,986,1105,1454,1803,2152,2501,2850
"372 Morphine + Phlebitis",104,266,428,590,752,914,977,1211,1560,1909,2258,2607,2956
"373 Amoxicillin + Anaphylactic reaction",7,169,331,493,655,817,974,1000,1349,1698,2047,2396,2745
"374 Ceftriaxone + Anaphylactoid reaction",24,186,348,510,672,834,974,1029,1378,1727,2076,2425,2774
"375 Letrozole + Deep vein thrombosis",83,245,407,569,731,893,977,1172,1521,1870,2219,2568,2917
"376 Cilostazol + Cerebral haemorrhage",29,191,353,515,677,839,981,1036,1385,1734,2083,2432,2781
"377 Teriflunomide + Polyneuropathy",151,313,475,637,799,961,980,1316,1665,2014,2363,2712,3061
"378 Progesterone + Deep vein thrombosis",129,291,453,615,777,939,977,1268,1617,1966,2315,2664,3013
"379 Ibuprofen + Anaphylactoid reaction",74,236,398,560,722,884,974,1153,1502,1851,2200,2549,2898
"380 Lamivudine + Myocardial infarction",80,242,404,566,728,890,973,1165,1514,1863,2212,2561,2910
"381 Carboplatin + Acute coronary syndrome",21,183,345,507,669,831,973,1022,1371,1720,2069,2418,2767
"382 Docetaxel + Pulmonary embolism",46,208,370,532,694,856,986,1089,1438,1787,2136,2485,2834
"383 Sorafenib + Pulmonary embolism",145,307,469,631,793,955,986,1300,1649,1998,2347,2696,3045
"384 Ticagrelor + Cerebral infarction",153,315,477,639,801,963,985,1320,1669,2018,2367,2716,3065
"385 Melphalan + Pulmonary embolism",92,254,416,578,740,902,986,1188,1537,1886,2235,2584,2933
"386 Quetiapine + Pulmonary embolism",132,294,456,618,780,942,986,1273,1622,1971,2320,2669,3018
"387 Enoxaparin + Pulmonary embolism",50,212,374,536,698,860,986,1102,1451,1800,2149,2498,2847
"388 Fingolimod + Myelitis",59,221,383,545,707,869,979,1119,1468,1817,2166,2515,2864
"388 Fingolimod + Myelitis",59,221,383,545,707,869,988,1122,1471,1820,2169,2518,2867
"389 Fingolimod + Myelitis",59,221,383,545,707,869,979,1119,1468,1817,2166,2515,2864
"389 Fingolimod + Myelitis",59,221,383,545,707,869,988,1122,1471,1820,2169,2518,2867
"390 Warfarin + Circulatory collapse",161,323,485,647,809,971,974,1334,1683,2032,2381,2730,3079
"391 Zoledronic acid + Pulmonary embolism",162,324,486,648,810,972,986,1337,1686,2035,2384,2733,3082
"392 Ramipril + Sleep disorder",133,295,457,619,781,943,984,1275,1624,1973,2322,2671,3020
"393 Ceftriaxone + Encephalopathy",24,186,348,510,672,834,979,1030,1379,1728,2077,2426,2775
"394 Pregabalin + Facial paralysis",128,290,452,614,776,938,976,1265,1614,1963,2312,2661,3010
"395 Oseltamivir + Sleep disorder",116,278,440,602,764,926,984,1237,1586,1935,2284,2633,2982
"396 Ceftriaxone + Anaphylactic reaction",24,186,348,510,672,834,974,1029,1378,1727,2076,2425,2774
"397 Abiraterone + Myocardial infarction",1,163,325,487,649,811,973,989,1338,1687,2036,2385,2734
"398 Octreotide + Thrombosis",111,273,435,597,759,921,977,1227,1576,1925,2274,2623,2972
"399 Mycophenolic acid + Cerebral infarction",106,268,430,592,754,916,985,1219,1568,1917,2266,2615,2964
"400 Clopidogrel + Subarachnoid haemorrhage",37,199,361,523,685,847,981,1048,1397,1746,2095,2444,2793
"401 Abiraterone + Cerebrovascular accident",1,163,325,487,649,811,985,990,1339,1688,2037,2386,2735
"402 Cyclophosphamide + Thrombocytopenia",39,201,363,525,687,849,982,1062,1411,1760,2109,2458,2807
"403 Sunitinib + Cerebrovascular accident",147,309,471,633,795,957,985,1305,1654,2003,2352,2701,3050
"404 Anastrozole + Thrombosis",10,172,334,496,658,820,977,1004,1353,1702,2051,2400,2749
"405 Vinorelbine + Pulmonary embolism",159,321,483,645,807,969,986,1331,1680,2029,2378,2727,3076
"406 Rivaroxaban + Pulmonary embolism",138,300,462,624,786,948,986,1293,1642,1991,2340,2689,3038
"407 Ibuprofen + Immune thrombocytopenia",74,236,398,560,722,884,982,1155,1504,1853,2202,2551,2900
"408 Heparin + Pulmonary embolism",71,233,395,557,719,881,986,1148,1497,1846,2195,2544,2893
"409 Levetiracetam + Atrial septal defect",84,246,408,570,732,894,973,1175,1524,1873,2222,2571,2920
"410 Sunitinib + Thrombosis",147,309,471,633,795,957,977,1303,1652,2001,2350,2699,3048
"411 Sunitinib + Ischaemic stroke",147,309,471,633,795,957,985,1305,1654,2003,2352,2701,3050
"412 Furosemide + Encephalopathy",66,228,390,552,714,876,979,1133,1482,1831,2180,2529,2878
"413 Alprazolam + Encephalopathy",4,166,328,490,652,814,979,993,1342,1691,2040,2389,2738
"414 Letrozole + Thrombosis",83,245,407,569,731,893,977,1172,1521,1870,2219,2568,2917
"415 Dabigatran + Subdural haemorrhage",41,203,365,527,689,851,981,1070,1419,1768,2117,2466,2815
"416 Ampicillin + Anaphylactic reaction",9,171,333,495,657,819,974,1003,1352,1701,2050,2399,2748
"417 Carfilzomib + Acute myocardial infarction",22,184,346,508,670,832,973,1026,1375,1724,2073,2422,2771
"418 Triamcinolone + Anaphylactic reaction",156,318,480,642,804,966,974,1324,1673,2022,2371,2720,3069
"419 Mirtazapine + Circulatory collapse",102,264,426,588,750,912,974,1207,1556,1905,2254,2603,2952
"420 Lorazepam + Circulatory collapse",89,251,413,575,737,899,974,1184,1533,1882,2231,2580,2929
"421 Amoxicillin + Encephalopathy",7,169,331,493,655,817,979,1001,1350,1699,2048,2397,2746
"422 Apixaban + Subdural haemorrhage",11,173,335,497,659,821,981,1009,1358,1707,2056,2405,2754
"423 Dabigatran + Pericardial effusion",41,203,365,527,689,851,983,1071,1420,1769,2118,2467,2816
"424 Capecitabine + Acute coronary syndrome",19,181,343,505,667,829,973,1018,1367,1716,2065,2414,2763
"425 Cytarabine + Cerebral haemorrhage",40,202,364,526,688,850,981,1064,1413,1762,2111,2460,2809
"426 Doxorubicin + Pulmonary embolism",47,209,371,533,695,857,986,1095,1444,1793,2142,2491,2840
"427 Gemcitabine + Cerebral infarction",68,230,392,554,716,878,985,1139,1488,1837,2186,2535,2884
"428 Doxycycline + Anaphylactic reaction",48,210,372,534,696,858,974,1096,1445,1794,2143,2492,2841
"429 Ondansetron + Anaphylactic reaction",115,277,439,601,763,925,974,1236,1585,1934,2283,2632,2981
"430 Doxorubicin + Circulatory collapse",47,209,371,533,695,857,974,1091,1440,1789,2138,2487,2836
"431 Cyclophosphamide + Leukoencephalopathy",39,201,363,525,687,849,979,1059,1408,1757,2106,2455,2804
"432 Apixaban + Haemorrhage intracranial",11,173,335,497,659,821,981,1009,1358,1707,2056,2405,2754
"433 Ibrutinib + Cardiomyopathy",73,235,397,559,721,883,983,1151,1500,1849,2198,2547,2896
